District,Year,Forecast_Enrollment,Model,Required_Teachers
Thoothukudi,2028,319421,ExponentialSmoothing,10647
Thoothukudi,2029,324937,ExponentialSmoothing,10831
Thoothukudi,2030,330453,ExponentialSmoothing,11015
Tiruchirappalli,2026,566493,ExponentialSmoothing,18883
Tiruchirappalli,2027,571687,ExponentialSmoothing,19056
Tiruchirappalli,2028,576881,ExponentialSmoothing,19229
Tiruchirappalli,2029,582075,ExponentialSmoothing,19402
Tiruchirappalli,2030,587269,ExponentialSmoothing,19576
Tirunelveli,2026,346197,ExponentialSmoothing,11540
Tirunelveli,2027,350233,ExponentialSmoothing,11674
Tirunelveli,2028,354268,ExponentialSmoothing,11809
Tirunelveli,2029,358304,ExponentialSmoothing,11943
Tirunelveli,2030,362339,ExponentialSmoothing,12078
Tirupattur,2026,413349,ExponentialSmoothing,13778
Tirupattur,2027,417604,ExponentialSmoothing,13920
Tirupattur,2028,421859,ExponentialSmoothing,14062
Tirupattur,2029,426113,ExponentialSmoothing,14204
Tirupattur,2030,430368,ExponentialSmoothing,14346
Tiruppur,2026,273910,ExponentialSmoothing,9130
Tiruppur,2027,277639,ExponentialSmoothing,9255
Tiruppur,2028,281368,ExponentialSmoothing,9379
Tiruppur,2029,285097,ExponentialSmoothing,9503
Tiruppur,2030,288826,ExponentialSmoothing,9628
Tiruvallur,2026,231052,ExponentialSmoothing,7702
Tiruvallur,2027,236123,ExponentialSmoothing,7871
Tiruvallur,2028,241194,ExponentialSmoothing,8040
Tiruvallur,2029,246264,ExponentialSmoothing,8209
Tiruvallur,2030,251335,ExponentialSmoothing,8378
Tiruvannamalai,2026,415748,ExponentialSmoothing,13858
Tiruvannamalai,2027,423146,ExponentialSmoothing,14105
Tiruvannamalai,2028,430543,ExponentialSmoothing,14351
Tiruvannamalai,2029,437941,ExponentialSmoothing,14598
Tiruvannamalai,2030,445338,ExponentialSmoothing,14845
Tiruvarur,2026,354886,ExponentialSmoothing,11830
Tiruvarur,2027,359810,ExponentialSmoothing,11994
Tiruvarur,2028,364734,ExponentialSmoothing,12158
Tiruvarur,2029,369659,ExponentialSmoothing,12322
Tiruvarur,2030,374583,ExponentialSmoothing,12486
Vellore,2026,225956,ExponentialSmoothing,7532
Vellore,2027,228726,ExponentialSmoothing,7624
Vellore,2028,231495,ExponentialSmoothing,7716
Vellore,2029,234265,ExponentialSmoothing,7809
Vellore,2030,237034,ExponentialSmoothing,7901
Viluppuram,2026,378589,ExponentialSmoothing,12620
Viluppuram,2027,384742,ExponentialSmoothing,12825
Viluppuram,2028,390896,ExponentialSmoothing,13030
Viluppuram,2029,397049,ExponentialSmoothing,13235
Viluppuram,2030,403203,ExponentialSmoothing,13440
Virudhunagar,2026,310576,ExponentialSmoothing,10353
Virudhunagar,2027,315180,ExponentialSmoothing,10506
Virudhunagar,2028,319783,ExponentialSmoothing,10659
Virudhunagar,2029,324387,ExponentialSmoothing,10813
Virudhunagar,2030,328990,ExponentialSmoothing,10966
